89 500
11 39 0
48 54 0
69 60 1
69 60 3
33 84 4
33 84 4
33 84 5
54 48 5
54 48 5
57 24 5
57 26 5
57 65 5
48 54 5
22 54 5
57 26 6
48 22 6
54 48 6
57 26 6
4 38 6
25 71 6
69 30 7
83 56 7
60 16 7
60 22 7
57 24 8
57 26 8
57 65 8
16 60 8
16 22 8
24 57 8
22 54 8
29 60 8
57 26 8
57 26 9
69 66 9
69 21 9
69 30 9
69 60 10
65 54 19
39 54 25
39 64 25
14 77 27
61 56 27
33 84 28
38 4 28
33 84 28
54 65 28
70 80 28
66 4 29
85 64 30
24 54 31
65 24 32
69 60 32
48 24 32
60 21 35
0 89 49
54 67 50
38 4 51
14 77 52
57 24 52
57 26 52
57 65 52
57 35 52
57 24 53
57 26 53
57 65 53
23 60 53
23 7 53
23 59 53
23 62 53
23 5 53
23 66 53
23 21 53
23 44 53
23 81 53
23 69 53
23 30 53
23 88 53
24 65 53
49 60 53
69 60 53
25 49 54
65 35 54
54 24 54
54 16 55
16 35 55
87 56 55
87 56 56
54 16 56
25 14 57
14 25 57
49 25 58
24 65 58
23 59 59
23 62 59
23 66 59
23 69 59
23 58 59
66 4 59
60 7 60
60 69 60
60 15 60
54 48 74
87 56 74
85 25 74
85 64 74
85 1 74
85 19 74
85 35 74
33 84 74
33 3 74
25 85 75
48 54 75
85 39 75
85 39 75
87 56 76
48 25 78
64 1 78
64 19 78
87 56 78
19 64 79
19 1 79
19 64 79
19 1 79
54 49 80
38 53 80
38 4 80
33 84 80
33 3 80
77 14 80
87 56 81
83 80 82
83 82 83
1 83 97
88 60 98
88 15 98
1 64 98
88 60 98
88 15 98
48 51 100
55 80 100
43 56 100
43 67 100
43 49 100
43 55 100
43 50 100
43 80 100
70 19 101
54 16 101
55 43 101
80 25 102
80 83 102
12 55 102
29 49 103
49 43 104
57 7 104
57 24 104
57 26 104
57 65 104
57 35 104
57 80 104
69 81 105
35 88 107
84 33 107
84 54 107
83 1 131
88 15 157
33 84 170
50 43 170
24 65 173
16 61 174
61 35 175
48 54 176
48 67 176
83 25 176
56 87 177
25 83 177
48 54 193
48 24 193
49 43 193
48 67 196
48 54 196
87 56 196
48 24 196
24 48 197
87 56 197
87 56 197
9 43 198
69 23 198
69 66 198
69 21 198
69 35 198
69 30 198
43 9 198
49 67 199
35 69 200
87 84 200
87 23 200
87 46 200
87 33 200
49 43 200
69 35 201
49 43 201
57 24 201
67 49 203
70 80 218
70 80 218
49 29 218
70 80 218
25 1 218
35 83 218
33 84 219
55 80 220
64 1 220
54 65 220
61 29 220
80 55 220
57 24 221
57 26 221
57 65 221
57 35 221
65 54 221
87 1 222
67 48 223
83 1 224
48 78 224
29 60 224
69 60 225
38 69 225
80 69 225
80 70 225
57 24 226
57 26 226
57 65 226
24 57 226
57 24 228
57 26 228
57 65 228
57 35 228
57 26 229
14 25 242
14 25 242
14 35 242
43 69 242
69 23 243
69 66 243
69 21 243
69 30 243
49 43 243
19 25 244
19 64 244
19 85 244
19 1 244
19 35 244
43 49 245
35 19 245
55 69 245
48 12 245
19 35 245
70 19 245
16 49 245
49 16 246
83 56 246
85 46 248
48 54 248
49 16 249
83 64 249
83 1 249
83 19 249
83 87 249
83 1 249
85 65 250
16 49 250
49 16 250
57 24 252
88 25 274
54 48 312
1 64 314
77 61 314
60 14 315
88 60 315
14 60 315
61 57 315
57 61 315
60 88 315
48 24 315
43 56 316
43 67 316
43 49 316
43 55 316
43 50 316
43 80 316
54 61 316
48 24 316
4 66 316
83 56 316
83 1 317
49 43 317
25 35 318
77 61 318
57 24 322
83 87 322
54 16 336
85 31 337
87 56 337
25 16 339
60 16 339
54 65 340
43 9 340
54 16 341
85 46 342
65 24 343
65 50 343
77 61 343
60 54 345
49 43 345
83 87 345
57 24 345
57 26 345
57 65 345
57 35 345
58 84 345
58 23 345
58 11 345
58 66 346
55 25 346
60 88 346
83 25 346
60 88 346
60 88 346
4 66 347
80 12 348
25 83 349
58 39 350
58 85 350
52 62 361
38 4 363
48 54 363
38 4 363
16 32 365
16 4 365
16 15 365
67 49 365
49 32 365
49 67 365
49 54 365
49 52 365
49 48 365
43 56 367
43 67 367
43 55 367
43 50 367
70 19 368
61 56 368
67 43 368
80 43 368
25 19 369
32 80 369
46 85 370
80 55 371
55 80 373
4 16 374
87 83 385
48 54 385
39 11 385
43 56 386
43 55 386
43 50 386
70 19 386
70 24 386
24 70 386
50 43 386
49 60 386
48 78 387
55 43 387
14 25 387
14 86 387
43 56 388
43 67 388
43 49 388
43 55 388
43 50 388
43 80 388
49 43 388
77 61 389
43 56 389
43 67 389
43 49 389
43 55 389
43 50 389
43 80 389
55 80 390
49 67 390
57 24 390
57 26 390
57 65 390
57 80 390
43 55 392
43 30 392
80 25 392
25 2 392
29 49 393
80 25 393
43 49 393
57 26 394
49 43 394
46 65 396
23 58 398
58 23 407
48 54 409
54 48 410
67 48 410
65 24 411
48 54 411
48 24 411
24 65 411
87 56 411
38 4 411
54 48 411
43 49 411
4 67 411
23 58 412
38 4 412
29 49 412
55 49 413
49 55 413
70 19 413
70 19 413
70 19 413
61 56 413
54 16 413
54 50 413
83 82 414
1 88 414
80 70 415
65 46 416
55 80 416
80 55 416
35 14 416
57 24 417
57 65 417
88 60 480
54 48 480
19 70 481
49 67 481
49 67 481
77 61 482
32 16 482
38 4 483
88 60 484
57 46 484
57 24 484
57 26 484
57 65 484
57 87 484
57 80 484
57 46 484
57 24 484
57 26 484
57 65 484
57 87 484
57 80 484
38 4 485
16 88 485
16 88 486
33 84 486
29 49 486
25 78 487
78 25 487
48 54 488
54 48 488
88 60 489
51 26 489
88 60 490
88 60 490
88 60 490
4 46 491
77 88 506
33 84 506
33 84 506
1 58 508
1 58 508
1 58 508
49 29 508
38 4 508
88 77 508
38 4 509
8 66 509
8 17 509
83 1 509
83 87 509
49 67 511
49 54 511
54 67 511
54 49 511
16 61 511
49 67 511
77 15 512
54 32 512
54 67 512
54 52 512
54 49 512
54 48 512
88 60 512
83 4 512
77 88 512
33 84 513
16 64 514
80 70 516
65 54 520
88 60 528
88 15 528
88 60 528
88 16 528
88 15 528
77 88 529
29 49 532
88 60 533
88 15 533
25 88 534
88 60 535
88 15 535
48 67 536
65 54 536
80 55 536
43 49 536
52 57 537
80 57 537
49 54 538
54 49 538
25 88 538
54 24 538
83 35 539
88 60 539
88 16 539
88 15 539
88 60 540
88 16 540
57 24 540
57 26 540
57 65 540
88 16 545
88 15 545
88 16 553
88 25 553
39 11 554
24 54 555
80 55 555
63 54 555
38 4 555
57 24 555
57 26 555
57 65 555
25 19 556
25 88 556
88 60 558
88 16 558
88 15 558
54 65 558
88 60 559
88 16 559
83 1 559
4 83 559
77 61 560
55 11 562
57 24 562
57 65 562
88 60 564
88 16 564
88 15 564
48 65 577
54 16 577
54 67 577
11 55 578
49 43 579
38 4 580
54 67 581
54 65 581
43 56 582
43 67 582
43 49 582
43 55 582
43 50 582
43 80 582
48 24 582
48 54 583
48 65 583
77 61 584
43 55 585
83 1 612
83 1 613
16 60 643
16 25 643
70 19 648
4 38 649
77 61 651
77 61 651
38 4 652
54 65 652
19 70 652
77 25 652
83 56 653
25 16 654
88 25 654
88 25 655
88 25 655
83 56 656
77 25 657
88 25 659
88 25 663
25 60 665
25 16 665
16 25 667
19 70 673
46 18 674
48 24 675
38 4 675
38 4 675
48 24 675
25 88 675
88 25 676
65 48 677
49 43 678
43 49 678
49 43 678
24 65 680
11 86 686
11 78 687
11 39 688
77 61 697
39 11 697
57 65 702
52 57 703
48 24 703
24 65 703
11 39 703
52 57 703
70 55 703
85 64 703
85 31 703
70 19 703
70 19 703
78 11 705
57 65 709
88 54 720
54 88 721
54 67 722
54 65 722
70 19 722
70 19 723
19 70 723
43 60 724
24 48 724
57 24 724
24 58 725
55 32 726
57 65 727
24 26 727
49 43 727
43 56 727
43 67 727
43 49 727
43 70 727
43 55 727
43 50 727
43 80 727
49 43 727
50 43 727
48 43 728
48 54 728
48 65 728
80 55 728
61 56 728
58 24 729
57 65 729
60 16 730
49 43 730
49 43 730
88 60 744
70 43 745
70 19 745
70 19 745
39 80 745
39 80 745
48 24 746
58 68 747
58 21 747
58 81 747
58 64 747
21 60 747
21 62 747
21 5 747
21 66 747
21 44 747
21 81 747
21 30 747
21 88 747
11 78 747
87 83 747
78 11 748
77 43 748
54 67 748
54 65 748
84 33 750
70 19 750
70 19 750
70 19 750
33 84 750
49 43 751
43 77 752
49 43 752
49 43 754
88 25 768
64 58 818
23 58 818
60 7 821
60 69 821
60 15 821
48 24 822
66 71 822
66 71 822
66 71 822
4 64 822
83 56 823
83 1 823
29 60 824
66 60 824
66 62 824
66 5 824
66 44 824
66 81 824
66 30 824
66 88 824
49 80 826
49 43 827
54 48 840
43 48 842
39 11 842
49 64 843
50 43 844
48 54 845
88 25 846
88 25 846
16 60 847
23 60 849
23 7 849
23 59 849
23 62 849
23 5 849
23 66 849
